Region,Division_IPC,Fecha,Valor_IPC
Cuyo,Restaurantes y hoteles,2018-01-01,21.4
Cuyo,Bienes y servicios varios,2018-01-01,18.4
Patagonia,Nivel general,2018-01-01,23.5
Patagonia,Alimentos y bebidas no alcohólicas,2018-01-01,17.4
Patagonia,Bebidas alcohólicas y tabaco,2018-01-01,23.7
Patagonia,Prendas de vestir y calzado,2018-01-01,13.2
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,48.0
Patagonia,Equipamiento y mantenimiento del hogar,2018-01-01,16.1
Patagonia,Salud,2018-01-01,24.3
Patagonia,Transporte,2018-01-01,26.8
Patagonia,Comunicación,2018-01-01,27.2
Patagonia,Recreación y cultura,2018-01-01,27.9
Patagonia,Educación,2018-01-01,21.1
Patagonia,Restaurantes y hoteles,2018-01-01,22.6
Patagonia,Bienes y servicios varios,2018-01-01,20.2
Nacional,Nivel general,2018-02-01,25.4
Nacional,Alimentos y bebidas no alcohólicas,2018-02-01,21.7
Nacional,Bebidas alcohólicas y tabaco,2018-02-01,22.3
Nacional,Prendas de vestir y calzado,2018-02-01,16.4
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2018-02-01,52.5
Nacional,Equipamiento y mantenimiento del hogar,2018-02-01,19.1
Nacional,Salud,2018-02-01,26.6
Nacional,Transporte,2018-02-01,23.8
Nacional,Comunicación,2018-02-01,39.0
Nacional,Recreación y cultura,2018-02-01,23.6
Nacional,Educación,2018-02-01,29.7
Nacional,Restaurantes y hoteles,2018-02-01,22.4
Nacional,Bienes y servicios varios,2018-02-01,20.3
GBA,Nivel general,2018-02-01,25.5
GBA,Alimentos y bebidas no alcohólicas,2018-02-01,23.9
GBA,Bebidas alcohólicas y tabaco,2018-02-01,22.2
GBA,Prendas de vestir y calzado,2018-02-01,15.9
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2018-02-01,47.4
GBA,Equipamiento y mantenimiento del hogar,2018-02-01,19.7
GBA,Salud,2018-02-01,27.1
GBA,Transporte,2018-02-01,21.1
GBA,Comunicación,2018-02-01,36.2
GBA,Recreación y cultura,2018-02-01,22.5
GBA,Educación,2018-02-01,25.6
GBA,Restaurantes y hoteles,2018-02-01,22.6
GBA,Bienes y servicios varios,2018-02-01,20.4
Pampeana,Nivel general,2018-02-01,25.8
Pampeana,Alimentos y bebidas no alcohólicas,2018-02-01,20.0
Pampeana,Bebidas alcohólicas y tabaco,2018-02-01,22.6
Pampeana,Prendas de vestir y calzado,2018-02-01,18.1
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2018-02-01,58.0
Pampeana,Equipamiento y mantenimiento del hogar,2018-02-01,19.3
Pampeana,Salud,2018-02-01,27.1
Pampeana,Transporte,2018-02-01,25.3
Pampeana,Comunicación,2018-02-01,43.2
Pampeana,Recreación y cultura,2018-02-01,24.2
Pampeana,Educación,2018-02-01,34.8
Pampeana,Restaurantes y hoteles,2018-02-01,23.0
Pampeana,Bienes y servicios varios,2018-02-01,20.9
Noroeste,Nivel general,2018-02-01,24.6
Noroeste,Alimentos y bebidas no alcohólicas,2018-02-01,20.0
Noroeste,Bebidas alcohólicas y tabaco,2018-02-01,20.4
