Region,Division_IPC,Fecha,Valor_IPC
Cuyo,Transporte,2017-01-01,102.6271
Cuyo,Comunicación,2017-01-01,102.7973
Cuyo,Recreación y cultura,2017-01-01,101.494
Cuyo,Educación,2017-01-01,100.0
Cuyo,Restaurantes y hoteles,2017-01-01,101.8587
Cuyo,Bienes y servicios varios,2017-01-01,102.0274
Patagonia,Nivel general,2017-01-01,102.5593
Patagonia,Alimentos y bebidas no alcohólicas,2017-01-01,100.9464
Patagonia,Bebidas alcohólicas y tabaco,2017-01-01,101.1901
Patagonia,Prendas de vestir y calzado,2017-01-01,100.9137
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,110.3184
Patagonia,Equipamiento y mantenimiento del hogar,2017-01-01,101.0684
Patagonia,Salud,2017-01-01,104.7253
Patagonia,Transporte,2017-01-01,102.4768
Patagonia,Comunicación,2017-01-01,101.6649
Patagonia,Recreación y cultura,2017-01-01,100.9612
Patagonia,Educación,2017-01-01,106.9917
Patagonia,Restaurantes y hoteles,2017-01-01,102.2654
Patagonia,Bienes y servicios varios,2017-01-01,102.4839
Nacional,Nivel general,2017-02-01,103.6859
Nacional,Alimentos y bebidas no alcohólicas,2017-02-01,103.1605
Nacional,Bebidas alcohólicas y tabaco,2017-02-01,105.2395
Nacional,Prendas de vestir y calzado,2017-02-01,98.8523
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,107.0014
Nacional,Equipamiento y mantenimiento del hogar,2017-02-01,101.3278
Nacional,Salud,2017-02-01,105.0852
Nacional,Transporte,2017-02-01,103.9957
Nacional,Comunicación,2017-02-01,107.2514
Nacional,Recreación y cultura,2017-02-01,103.7961
Nacional,Educación,2017-02-01,103.9808
Nacional,Restaurantes y hoteles,2017-02-01,104.8886
Nacional,Bienes y servicios varios,2017-02-01,103.7951
GBA,Nivel general,2017-02-01,103.8085
GBA,Alimentos y bebidas no alcohólicas,2017-02-01,103.1646
GBA,Bebidas alcohólicas y tabaco,2017-02-01,105.4806
GBA,Prendas de vestir y calzado,2017-02-01,97.4253
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,108.4042
GBA,Equipamiento y mantenimiento del hogar,2017-02-01,101.2178
GBA,Salud,2017-02-01,104.6961
GBA,Transporte,2017-02-01,103.5441
GBA,Comunicación,2017-02-01,108.0484
GBA,Recreación y cultura,2017-02-01,103.3096
GBA,Educación,2017-02-01,104.936
GBA,Restaurantes y hoteles,2017-02-01,105.1373
GBA,Bienes y servicios varios,2017-02-01,104.1416
Pampeana,Nivel general,2017-02-01,103.5312
Pampeana,Alimentos y bebidas no alcohólicas,2017-02-01,103.0905
Pampeana,Bebidas alcohólicas y tabaco,2017-02-01,105.2329
Pampeana,Prendas de vestir y calzado,2017-02-01,99.9319
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,104.5783
Pampeana,Equipamiento y mantenimiento del hogar,2017-02-01,101.5404
Pampeana,Salud,2017-02-01,105.4773
Pampeana,Transporte,2017-02-01,104.4485
Pampeana,Comunicación,2017-02-01,106.7706
Pampeana,Recreación y cultura,2017-02-01,104.5173
Pampeana,Educación,2017-02-01,102.0178
Pampeana,Restaurantes y hoteles,2017-02-01,104.4851
Pampeana,Bienes y servicios varios,2017-02-01,103.518
Noroeste,Nivel general,2017-02-01,103.7115
Noroeste,Alimentos y bebidas no alcohólicas,2017-02-01,103.8789
Noroeste,Bebidas alcohólicas y tabaco,2017-02-01,105.4591
Noroeste,Prendas de vestir y calzado,2017-02-01,100.4131
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,107.6923
Noroeste,Equipamiento y mantenimiento del hogar,2017-02-01,100.6545
Noroeste,Salud,2017-02-01,104.0851
Noroeste,Transporte,2017-02-01,105.5673
Noroeste,Comunicación,2017-02-01,107.0784
Noroeste,Recreación y cultura,2017-02-01,103.4842
Noroeste,Educación,2017-02-01,102.8592
Noroeste,Restaurantes y hoteles,2017-02-01,103.3877
Noroeste,Bienes y servicios varios,2017-02-01,103.5259
Noreste,Nivel general,2017-02-01,103.4617
Noreste,Alimentos y bebidas no alcohólicas,2017-02-01,103.3712
Noreste,Bebidas alcohólicas y tabaco,2017-02-01,104.2784
Noreste,Prendas de vestir y calzado,2017-02-01,100.4291
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,103.9854
